Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
01/01/2016 12:00:00 AM,Western,M,30 to 39,10703,1043,9.74
01/01/2016 12:00:00 AM,Western,M,40 to 49,12824,939,7.32
01/01/2016 12:00:00 AM,Western,M,50 to 59,17578,1079,6.14
01/01/2016 12:00:00 AM,Western,M,60 to 69,16381,1013,6.18
01/01/2016 12:00:00 AM,Western,M,70 to 79,10252,682,6.65
01/01/2016 12:00:00 AM,Western,M,80 +,5161,320,6.2
01/01/2017 12:00:00 AM,Central,F,0 to 9,21229,787,3.71
01/01/2017 12:00:00 AM,Central,F,10 to 19,21937,3178,14.49
01/01/2017 12:00:00 AM,Central,F,20 to 29,30800,5454,17.71
01/01/2017 12:00:00 AM,Central,F,30 to 39,33816,4474,13.23
01/01/2017 12:00:00 AM,Central,F,40 to 49,32959,4251,12.9
01/01/2017 12:00:00 AM,Central,F,50 to 59,35639,4732,13.28
01/01/2017 12:00:00 AM,Central,F,60 to 69,28423,3827,13.46
01/01/2017 12:00:00 AM,Central,F,70 to 79,17312,2269,13.11
01/01/2017 12:00:00 AM,Central,F,80 +,11033,1086,9.84
01/01/2017 12:00:00 AM,Central,M,0 to 9,22340,1227,5.49
01/01/2017 12:00:00 AM,Central,M,10 to 19,22831,4480,19.62
01/01/2017 12:00:00 AM,Central,M,20 to 29,30861,6440,20.87
01/01/2017 12:00:00 AM,Central,M,30 to 39,32270,3647,11.3
01/01/2017 12:00:00 AM,Central,M,40 to 49,31342,2339,7.46
01/01/2017 12:00:00 AM,Central,M,50 to 59,34451,2415,7.01
01/01/2017 12:00:00 AM,Central,M,60 to 69,26625,1879,7.06
01/01/2017 12:00:00 AM,Central,M,70 to 79,15288,1104,7.22
01/01/2017 12:00:00 AM,Central,M,80 +,6998,463,6.62
01/01/2017 12:00:00 AM,Eastern,F,0 to 9,6778,271,4
01/01/2017 12:00:00 AM,Eastern,F,10 to 19,7761,1139,14.68
01/01/2017 12:00:00 AM,Eastern,F,20 to 29,8796,1705,19.38
01/01/2017 12:00:00 AM,Eastern,F,30 to 39,8850,1111,12.55
01/01/2017 12:00:00 AM,Eastern,F,40 to 49,10009,1046,10.45
01/01/2017 12:00:00 AM,Eastern,F,50 to 59,13312,1261,9.47
01/01/2017 12:00:00 AM,Eastern,F,60 to 69,13569,1349,9.94
01/01/2017 12:00:00 AM,Eastern,F,70 to 79,8984,909,10.12
01/01/2017 12:00:00 AM,Eastern,F,80 +,6016,453,7.53
01/01/2017 12:00:00 AM,Eastern,M,0 to 9,7023,396,5.64
01/01/2017 12:00:00 AM,Eastern,M,10 to 19,8181,1655,20.23
01/01/2017 12:00:00 AM,Eastern,M,20 to 29,9258,2183,23.58
01/01/2017 12:00:00 AM,Eastern,M,30 to 39,9108,970,10.65
01/01/2017 12:00:00 AM,Eastern,M,40 to 49,10037,659,6.57
01/01/2017 12:00:00 AM,Eastern,M,50 to 59,12883,730,5.67
01/01/2017 12:00:00 AM,Eastern,M,60 to 69,13174,703,5.34
01/01/2017 12:00:00 AM,Eastern,M,70 to 79,8214,490,5.97
01/01/2017 12:00:00 AM,Eastern,M,80 +,3781,231,6.11
01/01/2017 12:00:00 AM,Northern,F,0 to 9,6909,244,3.53
01/01/2017 12:00:00 AM,Northern,F,10 to 19,7971,1147,14.39
01/01/2017 12:00:00 AM,Northern,F,20 to 29,8411,1571,18.68
01/01/2017 12:00:00 AM,Northern,F,30 to 39,8922,1188,13.32
01/01/2017 12:00:00 AM,Northern,F,40 to 49,10466,1279,12.22
01/01/2017 12:00:00 AM,Northern,F,50 to 59,12756,1375,10.78
01/01/2017 12:00:00 AM,Northern,F,60 to 69,12032,1309,10.88
01/01/2017 12:00:00 AM,Northern,F,70 to 79,7789,848,10.89
01/01/2017 12:00:00 AM,Northern,F,80 +,5148,397,7.71
01/01/2017 12:00:00 AM,Northern,M,0 to 9,7303,371,5.08
01/01/2017 12:00:00 AM,Northern,M,10 to 19,8347,1581,18.94
01/01/2017 12:00:00 AM,Northern,M,20 to 29,8905,2001,22.47
01/01/2017 12:00:00 AM,Northern,M,30 to 39,8747,908,10.38
01/01/2017 12:00:00 AM,Northern,M,40 to 49,10358,664,6.41
01/01/2017 12:00:00 AM,Northern,M,50 to 59,12396,704,5.68
01/01/2017 12:00:00 AM,Northern,M,60 to 69,11845,667,5.63
01/01/2017 12:00:00 AM,Northern,M,70 to 79,7359,368,5
01/01/2017 12:00:00 AM,Northern,M,80 +,3460,194,5.61
01/01/2017 12:00:00 AM,Unknown,F,0 to 9,2172,69,3.18
01/01/2017 12:00:00 AM,Unknown,F,10 to 19,1708,209,12.24
01/01/2017 12:00:00 AM,Unknown,F,20 to 29,4386,565,12.88
01/01/2017 12:00:00 AM,Unknown,F,30 to 39,3602,339,9.41
01/01/2017 12:00:00 AM,Unknown,F,40 to 49,3334,254,7.62
01/01/2017 12:00:00 AM,Unknown,F,50 to 59,3482,318,9.13
01/01/2017 12:00:00 AM,Unknown,F,60 to 69,3031,280,9.24
01/01/2017 12:00:00 AM,Unknown,F,70 to 79,1918,168,8.76
01/01/2017 12:00:00 AM,Unknown,F,80 +,1261,105,8.33
01/01/2017 12:00:00 AM,Unknown,M,0 to 9,2220,117,5.27
01/01/2017 12:00:00 AM,Unknown,M,10 to 19,1764,273,15.48
01/01/2017 12:00:00 AM,Unknown,M,20 to 29,3809,629,16.51
01/01/2017 12:00:00 AM,Unknown,M,30 to 39,3447,230,6.67
01/01/2017 12:00:00 AM,Unknown,M,40 to 49,3179,139,4.37
01/01/2017 12:00:00 AM,Unknown,M,50 to 59,3381,153,4.53
01/01/2017 12:00:00 AM,Unknown,M,60 to 69,2814,122,4.34
01/01/2017 12:00:00 AM,Unknown,M,70 to 79,1724,81,4.7
01/01/2017 12:00:00 AM,Unknown,M,80 +,951,43,4.52
01/01/2017 12:00:00 AM,Western,F,0 to 9,8523,319,3.74
01/01/2017 12:00:00 AM,Western,F,10 to 19,9665,1558,16.12
01/01/2017 12:00:00 AM,Western,F,20 to 29,10805,2073,19.19
01/01/2017 12:00:00 AM,Western,F,30 to 39,11306,1520,13.44
01/01/2017 12:00:00 AM,Western,F,40 to 49,13165,1594,12.11
01/01/2017 12:00:00 AM,Western,F,50 to 59,17921,2055,11.47
01/01/2017 12:00:00 AM,Western,F,60 to 69,17310,1925,11.12
01/01/2017 12:00:00 AM,Western,F,70 to 79,11653,1274,10.93
01/01/2017 12:00:00 AM,Western,F,80 +,7745,639,8.25
01/01/2017 12:00:00 AM,Western,M,0 to 9,8955,423,4.72
01/01/2017 12:00:00 AM,Western,M,10 to 19,10147,2026,19.97
01/01/2017 12:00:00 AM,Western,M,20 to 29,11171,2546,22.79
01/01/2017 12:00:00 AM,Western,M,30 to 39,10847,1161,10.7
01/01/2017 12:00:00 AM,Western,M,40 to 49,12697,907,7.14
01/01/2017 12:00:00 AM,Western,M,50 to 59,17255,1081,6.26
01/01/2017 12:00:00 AM,Western,M,60 to 69,16723,991,5.93
01/01/2017 12:00:00 AM,Western,M,70 to 79,10927,728,6.66
01/01/2017 12:00:00 AM,Western,M,80 +,5355,328,6.13
